"","Geneid","log2FC_CvsOH","padj_CvsOH","GeneSymbol","biotype"
"69","ENSG00000254064",-1.47385246008067,0.000534111903905126,"AC105206.2","lncRNA"
"70","ENSG00000254317",-1.37067144169061,0.000298318199584583,"AC022973.5","lncRNA"
"71","ENSG00000254568",-1.7895851139132,0.00594026562527805,"AP003501.1","lncRNA"
"72","ENSG00000254902",-2.82852198571119,0.0410420864755135,"ANO1-AS1","lncRNA"
"73","ENSG00000255114",-1.11654109327841,4.00980128081901e-46,"AP003392.3","lncRNA"
"74","ENSG00000255121",-1.5789142197476,8.32443458450249e-08,"CCDC84-DT","lncRNA"
"75","ENSG00000255471",-4.29407057662578,0.00446309173856309,"AP001528.1","lncRNA"
"76","ENSG00000255723",-1.03237042163759,2.82864715615555e-05,"AC108516.2","lncRNA"
"77","ENSG00000255966",-3.46396711278374,0.0481886933132045,"AC006064.3","lncRNA"
"78","ENSG00000256006",-4.86714745936146,0.00104697001203423,"AC084117.1","lncRNA"
"79","ENSG00000256299",-3.77919347346008,0.0040228264636847,"AC073912.3","lncRNA"
"80","ENSG00000256341",-2.37211540852011,0.000282795489638318,"AP006333.2","lncRNA"
"81","ENSG00000256742",-1.77680541924685,0.0421008022792597,"KDM2B-DT","lncRNA"
"82","ENSG00000256973",-3.39008452167257,0.0094869766596485,"AC053513.2","lncRNA"
"83","ENSG00000257042",-1.96178478085433,6.31351614536773e-15,"AC008011.2","lncRNA"
"84","ENSG00000257225",-1.84544845754638,9.02676435926572e-67,"AC079601.2","lncRNA"
"85","ENSG00000257359",-1.12521728417214,5.58381066313559e-06,"AC073863.1","lncRNA"
"86","ENSG00000257452",-1.51573776110364,0.0010240059522605,"AC004551.1","lncRNA"
"87","ENSG00000257453",-1.32170631740751,7.61778790899541e-27,"AC011611.3","lncRNA"
"88","ENSG00000257671",-1.27991330818734,5.1372909398995e-51,"KRT7-AS","lncRNA"
"89","ENSG00000257715",-1.0992040694117,4.59190341754175e-19,"AC007298.1","lncRNA"
"90","ENSG00000257839",-2.67922299535122,0.0340747212420552,"AC011611.4","lncRNA"
"91","ENSG00000258086",-1.44451843881523,3.4949965376279e-08,"AC079313.1","lncRNA"
"92","ENSG00000258177",-1.18861090840247,1.65050613392199e-17,"AC008149.1","lncRNA"
"93","ENSG00000258232",-1.66464731944668,1.86150777793439e-54,"AC125611.3","lncRNA"
"94","ENSG00000258377",-1.12512123897444,3.49033117141335e-38,"AL139099.2","lncRNA"
"95","ENSG00000258424",-1.35532863220898,9.47270630283432e-32,"AL512791.1","lncRNA"
"96","ENSG00000258425",-1.18590708143127,0.00669503950249397,"AC013451.1","lncRNA"
"97","ENSG00000258749",-1.31242154786795,1.4153807176608e-32,"AL110504.1","lncRNA"
"98","ENSG00000258757",-1.21434474338096,3.81942186461097e-20,"AL133453.1","lncRNA"
"99","ENSG00000259007",-1.49178574995893,0.0315317616056961,"AL358333.3","lncRNA"
"100","ENSG00000259052",-1.1784660777789,0.00180494222852547,"AL157871.6","lncRNA"
"101","ENSG00000259187",-1.14129892387316,6.03608032142797e-10,"AC122108.2","lncRNA"
"102","ENSG00000259424",-3.31875145984502,0.0393790250254978,"IRAIN","lncRNA"
