"","mRNA_id","mRNA_log2FC_O3","mRNA_padj_O3","mRNA_GeneSymbol","lncRNA_id","lncRNA_log2FC_O3","lncRNA_padj_O3","lncRNA_GeneSymbol"
"42","ENSG00000100276",2.23499094776127,0.00248357424126617,"RASL10A","ENSG00000273216",2.50429673455092,0.000414771304876464,"AC002059.1"
"43","ENSG00000100644",-1.05328154277081,5.24021732961948e-48,"HIF1A","ENSG00000258777",-1.06353285926465,3.26765437182545e-11,"HIF1A-AS1"
"44","ENSG00000101624",1.83582139827828,1.96328530219105e-160,"CEP76","ENSG00000267249",1.7211783374345,2.39847858722485e-18,"AP005482.4"
"45","ENSG00000102003",2.8389876556756,1.42073316677608e-18,"SYP","ENSG00000237341",3.37987669577082,0.000396259023891773,"SYP-AS1"
"46","ENSG00000102879",-1.11768316771352,4.20374155665686e-31,"CORO1A","ENSG00000261416",-1.09666751036696,0.00271156663517348,"AC012645.3"
"47","ENSG00000102908",1.3490902678072,0.000804384255490434,"NFAT5","ENSG00000260772",1.36492659743457,1.60025379952774e-31,"AC012321.1"
"48","ENSG00000103145",-1.94795724646504,5.90561341450378e-70,"HCFC1R1","ENSG00000205890",1.81408974954468,0.00300281036685922,"AC108134.1"
"49","ENSG00000103319",-1.28093747575515,4.90268843359061e-27,"EEF2K","ENSG00000261113",-1.58207260761284,3.67888815300395e-09,"AC009034.1"
"50","ENSG00000104689",1.12692913959661,2.28270647798646e-42,"TNFRSF10A","ENSG00000253930",1.37466645815579,1.59550120829508e-32,"TNFRSF10A-AS1"
"51","ENSG00000104812",-1.51798867592401,5.67006721968429e-53,"GYS1","ENSG00000267898",2.56097634841479,1.43563074783342e-06,"AC026803.2"
"52","ENSG00000104833",-1.02839621562884,0.00245686499499711,"TUBB4A","ENSG00000268191",-2.19392978170883,0.00693688854062035,"AC010503.2"
"53","ENSG00000105355",-1.33304507494365,1.16879065406059e-111,"PLIN3","ENSG00000267484",-1.18385552929097,1.15663242940798e-21,"AC027319.1"
"54","ENSG00000105568",-1.16866353892798,5.31112201364595e-101,"PPP2R1A","ENSG00000268015",-1.15522799310843,1.79060233988948e-21,"AC010320.3"
"55","ENSG00000105613",1.51348657519025,1.35470892452561e-16,"MAST1","ENSG00000267424",2.26352995105528,0.000644268752998491,"AC020934.1"
"56","ENSG00000105650",5.4260154112103,4.20901538959329e-124,"PDE4C","ENSG00000268650",5.75403847340638,8.24288196186197e-83,"AC005759.1"
"57","ENSG00000105668",3.56448722346383,7.2841377453936e-09,"UPK1A","ENSG00000226510",2.36553147704549,5.59159169503596e-06,"UPK1A-AS1"
"58","ENSG00000106479",1.36370600532129,2.33121708359906e-13,"ZNF862","ENSG00000273419",2.39441056554804,1.30720494366419e-20,"AC004877.1"
"59","ENSG00000107282",1.95620503790947,6.17484814297542e-05,"APBA1","ENSG00000243888",2.52227554080169,0.000324594343288039,"AL355140.1"
"60","ENSG00000108576",6.49303232979002,2.46979971795048e-09,"SLC6A4","ENSG00000264125",4.17091672000528,0.000486505568227933,"AC104984.2"
"61","ENSG00000108602",-1.17959774240627,7.49295351075611e-17,"ALDH3A1","ENSG00000264785",-1.26260814025041,0.000141427053877773,"AC005722.4"
"62","ENSG00000109107",-1.73831388945895,2.77497326289068e-85,"ALDOC","ENSG00000265168",-1.6732163063419,2.2756851629134e-55,"AC005726.3"
"63","ENSG00000109670",2.36390988023844,5.98410589739613e-156,"FBXW7","ENSG00000270751",2.44371483822296,3.43249208643535e-31,"FBXW7-AS1"
"64","ENSG00000110108",-1.09364538433398,1.15373313935837e-60,"TMEM109","ENSG00000256944",-1.74546864920204,0.00616132363986164,"AP003721.3"
"65","ENSG00000110427",-1.97290532367845,3.61482474303037e-07,"KIAA1549L","ENSG00000255202",1.71345199717491,0.00134435050718769,"AL049629.1"
"66","ENSG00000111144",-1.00740778920019,5.69105556841404e-43,"LTA4H","ENSG00000257715",-1.13079462588316,1.10452296346163e-21,"AC007298.1"
"67","ENSG00000111145",-1.13156616147434,7.20504971760351e-21,"ELK3","ENSG00000258177",-1.23121037573788,3.98772806837046e-21,"AC008149.1"
"68","ENSG00000111640",-1.40395659840674,2.7346959061034e-101,"GAPDH","ENSG00000269968",-1.35061421834403,7.56922144497587e-57,"AC006064.4"
"69","ENSG00000112245",1.17818339594996,6.07498048727611e-79,"PTP4A1","ENSG00000266680",2.74163086768489,1.052168303948e-50,"AL135905.1"
"70","ENSG00000112972",-2.69369878671153,0,"HMGCS1","ENSG00000261604",-2.45957933445361,6.63468319289484e-89,"AC114947.2"
"71","ENSG00000113368",-1.23140071797659,7.26734440547734e-116,"LMNB1","ENSG00000251072",2.12523276459772,0.00261151670044094,"LMNB1-DT"
"72","ENSG00000113658",1.25935028164165,2.51174738565089e-20,"SMAD5","ENSG00000164621",1.6461503048154,0.000489812308959222,"SMAD5-AS1"
"73","ENSG00000115297",5.12799193369514,0.000148263846018856,"TLX2","ENSG00000257702",2.03371172747675,1.72437189169613e-53,"LBX2-AS1"
"74","ENSG00000116032",3.97622885391838,1.14912794306125e-64,"GRIN3B","ENSG00000266990",5.08223092207637,0.00214920814189876,"AC004528.1"
"75","ENSG00000116133",-2.12915635197494,6.82831777150297e-85,"DHCR24","ENSG00000242396",-2.0786940779131,3.79672115879007e-43,"AC096536.2"
"76","ENSG00000116455",-1.23745473749213,6.78322536309635e-65,"WDR77","ENSG00000243960",-1.26893131768294,2.06670975347406e-65,"AL390195.2"
"77","ENSG00000116761",1.11642367026913,7.2984246478848e-25,"CTH","ENSG00000271992",1.78889598356457,8.1586454402087e-05,"AL354872.2"
"78","ENSG00000118197",1.22459121857157,6.54686370385556e-38,"DDX59","ENSG00000260088",1.59216786925851,4.12181972174205e-05,"DDX59-AS1"
"79","ENSG00000118418",-1.09385864063049,7.72247195714876e-15,"HMGN3","ENSG00000270362",-1.02042944776011,1.10587957111453e-05,"HMGN3-AS1"
"80","ENSG00000118523",-2.7235662001239,0,"CTGF","ENSG00000227220",-2.74280374316108,1.67357635943529e-74,"AL133346.1"
"81","ENSG00000120889",1.78935956037835,8.38491862036387e-74,"TNFRSF10B","ENSG00000246130",4.42040402939151,3.9923659434367e-29,"AC107959.2"
"82","ENSG00000121068",5.34730014730948,8.43625270455186e-93,"TBX2","ENSG00000267131",4.9052642416845,0.000688608273504278,"AC005746.2"
"83","ENSG00000122884",-1.20311104238979,1.11962885308492e-86,"P4HA1","ENSG00000237768",-1.35577151082092,3.56867694406931e-15,"AL731563.3"
"84","ENSG00000123358",1.0120674852906,1.19343272896472e-13,"NR4A1","ENSG00000259884",1.27013043395256,2.50369792843014e-14,"NR4A1AS"
"85","ENSG00000123364",3.31512107662048,0.000278769665243975,"HOXC13","ENSG00000249641",4.8388809126517,6.8443381246446e-07,"HOXC13-AS"
"86","ENSG00000125945",1.19138186016119,4.03622541755716e-17,"ZNF436","ENSG00000271420",2.66200393456652,0.00635528604433972,"AL109936.3"
"87","ENSG00000126231",1.5486438453714,2.12567492127922e-05,"PROZ","ENSG00000269125",2.70953199516831,4.84828245755609e-05,"AL137002.1"
"88","ENSG00000126583",1.86955488273421,0.00586387089133346,"PRKCG","ENSG00000232220",-1.15924812488144,5.30906372552771e-25,"AC008440.1"
"89","ENSG00000128011",-1.73059349044211,5.08182667213676e-20,"LRFN1","ENSG00000268262",-1.80746884718179,2.8920775530111e-07,"AC011445.1"
"90","ENSG00000128191",1.1966931009863,1.19358378713622e-37,"DGCR8","ENSG00000243762",1.13539644053321,6.45372974633856e-32,"AC006547.2"
"91","ENSG00000128298",1.36667890047303,0.0022029356196178,"BAIAP2L2","ENSG00000272720",2.09797835729799,0.000506753840259683,"AL022322.1"
"92","ENSG00000128342",2.00235698555008,1.99208068978304e-55,"LIF","ENSG00000232530",2.32053392229486,1.34579346578587e-08,"LIF-AS1"
"93","ENSG00000128346",2.63127341671359,3.88101238122117e-98,"C22orf23","ENSG00000272582",4.13666710483996,8.79283958376684e-23,"AL031587.3"
"94","ENSG00000128408",2.48792820903483,5.00764378195954e-27,"RIBC2","ENSG00000232363",4.74166730251789,0.00178886927900913,"AL021391.1"
"95","ENSG00000128482",1.53458600120344,0.000282034592853215,"RNF112","ENSG00000265126",2.89726322315618,0.00667154115525251,"AC004448.3"
"96","ENSG00000128591",3.32935168954205,3.73939610349609e-122,"FLNC","ENSG00000242902",3.1158392123325,2.3483803997417e-10,"FLNC-AS1"
"97","ENSG00000129173",1.81711621931414,1.64517803405006e-114,"E2F8","ENSG00000255308",1.51812622111331,2.57983172229746e-06,"CSRP3-AS1"
"98","ENSG00000130584",2.13228158847318,8.41817684914199e-19,"ZBTB46","ENSG00000229299",2.74360597401442,4.85729952382335e-21,"AL121845.1"
"99","ENSG00000130940",2.97151375407993,2.15034778730366e-159,"CASZ1","ENSG00000272078",2.71421754889856,2.12456575467977e-99,"AL139423.1"
"100","ENSG00000131652",-1.53359341110202,9.03487662719298e-76,"THOC6","ENSG00000205890",1.81408974954468,0.00300281036685922,"AC108134.1"
"101","ENSG00000132326",1.48448711332664,7.40452245954535e-17,"PER2","ENSG00000225057",1.11767499258988,0.00807535182373755,"AC012485.1"
"102","ENSG00000132334",2.03148794922075,3.12062025239975e-124,"PTPRE","ENSG00000232259",1.78587661578034,4.98311443480081e-07,"AL158166.2"
"103","ENSG00000132692",1.14264247580221,7.31540610692634e-05,"BCAN","ENSG00000229953",1.23555504587974,2.40450018813082e-05,"AL590666.2"
"104","ENSG00000132692",1.14264247580221,7.31540610692634e-05,"BCAN","ENSG00000272405",1.18326528968902,9.53015467522374e-19,"AL365181.3"
"105","ENSG00000133477",1.55100423691341,1.73676904592105e-41,"FAM83F","ENSG00000261202",1.87132349571391,0.00996145761667669,"Z83847.1"
"106","ENSG00000134013",-1.83466367417117,2.49234914696282e-90,"LOXL2","ENSG00000253837",-1.71225184789251,7.82026228405899e-21,"AC090197.1"
"107","ENSG00000134333",-2.90713977595953,0,"LDHA","ENSG00000256006",-2.53778538230056,0.00680172324005577,"AC084117.1"
"108","ENSG00000134574",3.67849138391035,0,"DDB2","ENSG00000256897",1.81781002023863,0.00791228406817825,"AC018410.1"
"109","ENSG00000134871",-1.08339760913063,1.72368272318115e-29,"COL4A2","ENSG00000224821",-1.54456051398847,0.00128917950918991,"COL4A2-AS2"
"110","ENSG00000135480",-1.64487097003755,6.9421793858794e-127,"KRT7","ENSG00000257671",-1.61739864945832,3.00411865696136e-81,"KRT7-AS"
"111","ENSG00000135678",4.03660693044433,0,"CPM","ENSG00000257181",4.4050566889868,0,"AC025423.4"
"112","ENSG00000135679",4.85424549514051,0,"MDM2","ENSG00000257181",4.4050566889868,0,"AC025423.4"
"113","ENSG00000135679",4.85424549514051,0,"MDM2","ENSG00000256325",3.84929046905673,1.48829457789085e-05,"AC025423.1"
"114","ENSG00000135823",1.49628499678699,1.43061983451572e-73,"STX6","ENSG00000243155",1.58672725822317,7.01133351605301e-74,"AL162431.1"
"115","ENSG00000135835",1.9495178412847,6.20904415327663e-12,"KIAA1614","ENSG00000243155",1.58672725822317,7.01133351605301e-74,"AL162431.1"
"116","ENSG00000135835",1.9495178412847,6.20904415327663e-12,"KIAA1614","ENSG00000232586",2.96058899536902,1.3185393937882e-53,"KIAA1614-AS1"
"117","ENSG00000136048",2.589665911137,1.75185230998634e-145,"DRAM1","ENSG00000257202",2.55523814325065,4.37085583575479e-50,"AC084398.2"
"118","ENSG00000136068",-1.37542264150188,2.16813997138944e-20,"FLNB","ENSG00000244161",-1.49543067596243,4.62047841510055e-53,"FLNB-AS1"
"119","ENSG00000136261",-1.86978923995603,8.88084144285008e-127,"BZW2","ENSG00000235837",-1.74335008315542,1.72597161911691e-45,"AC073333.1"
"120","ENSG00000136279",-1.10505911800258,8.43851069030171e-54,"DBNL","ENSG00000239775",2.17297843573772,5.39207816161961e-14,"AC017116.1"
"121","ENSG00000137802",1.13713659369665,3.72505547563419e-18,"MAPKBP1","ENSG00000250379",1.28370597354208,2.1609255380922e-26,"AC020659.2"
"122","ENSG00000137857",2.05656371883188,4.43332554575148e-42,"DUOX1","ENSG00000259539",1.27080057478006,0.00091910915012369,"AC051619.5"
"123","ENSG00000138606",1.02889528688828,1.56293168587018e-05,"SHF","ENSG00000259539",1.27080057478006,0.00091910915012369,"AC051619.5"
"124","ENSG00000139112",1.25000074323362,1.73814289152127e-40,"GABARAPL1","ENSG00000255958",1.70085282155675,0.000232136353340055,"AC115676.1"
"125","ENSG00000139174",-1.662146719512,6.22259773292326e-36,"PRICKLE1","ENSG00000257225",-1.59740868783335,3.77444275408253e-60,"AC079601.2"
"126","ENSG00000139289",-1.64411833955967,7.93655448143365e-47,"PHLDA1","ENSG00000257453",-1.65050987934603,1.25087374810602e-42,"AC011611.3"
"127","ENSG00000140832",1.01636842759066,3.8493868008948e-09,"MARVELD3","ENSG00000260593",1.35230459014197,0.00254177838655444,"AC009097.2"
"128","ENSG00000140932",5.46217694028003,1.0814585676613e-06,"CMTM2","ENSG00000260650",5.89291686368656,8.93485112406017e-08,"AC010542.1"
"129","ENSG00000141068",2.27316621622493,5.00388207336459e-38,"KSR1","ENSG00000266872",2.11158323026244,7.41092386027153e-52,"AC015688.6"
"130","ENSG00000141293",1.87034709787283,0.00993924841974858,"SKAP1","ENSG00000263787",4.85640850573911,0.00122800322131521,"SKAP1-AS1"
"131","ENSG00000141522",-1.38816877313646,2.02362973011954e-152,"ARHGDIA","ENSG00000262413",-1.42295874663347,3.85796869905728e-103,"AC145207.2"
"132","ENSG00000142182",5.78668513494051,1.639475166604e-07,"DNMT3L","ENSG00000232010",7.05842164634717,9.56405711314932e-08,"DNMT3L-AS1"
"133","ENSG00000142512",2.17586949009492,8.1233496864294e-10,"SIGLEC10","ENSG00000255441",1.68785998063787,9.80430873768315e-05,"AC008750.2"
"134","ENSG00000142512",2.17586949009492,8.1233496864294e-10,"SIGLEC10","ENSG00000254760",2.1683251563389,0.000778492287886175,"AC008750.1"
"135","ENSG00000142528",1.27640718587581,2.14063982919813e-92,"ZNF473","ENSG00000204666",5.4163776126628,8.72067237482774e-42,"AC010624.1"
"136","ENSG00000142621",2.0260405691377,2.35758007222615e-07,"FHAD1","ENSG00000233485",2.20862825559806,0.00724196320144314,"FHAD1-AS1"
"137","ENSG00000143217",5.84572878003271,2.98060079522971e-237,"PVRL4","ENSG00000228917",5.646196282312,5.5805883709962e-07,"AL591806.1"
"138","ENSG00000144485",2.4976787993654,5.55951979343162e-116,"HES6","ENSG00000225057",1.11767499258988,0.00807535182373755,"AC012485.1"
"139","ENSG00000145107",-1.65068401278366,7.28279808410516e-06,"TM4SF19","ENSG00000235897",-1.30843901017251,1.12865224261998e-16,"TM4SF19-AS1"
"140","ENSG00000145506",4.39121393852353,8.18103754509904e-66,"NKD2","ENSG00000272347",7.18565022063248,4.32493554859977e-08,"AC116351.2"
"141","ENSG00000148180",-1.32075484926344,9.48943865082851e-95,"GSN","ENSG00000235865",-1.39877185975172,3.91488429648225e-12,"GSN-AS1"
"142","ENSG00000150753",-1.18902595615387,3.35589895188873e-58,"CCT5","ENSG00000271980",-1.04379608287744,1.16266530354939e-16,"AC012640.6"
"143","ENSG00000151364",-1.23983916585982,9.86037180157222e-23,"KCTD14","ENSG00000254829",-1.13073590254608,1.99676232157214e-24,"AP003032.2"
"144","ENSG00000151575",1.15877916607926,7.15157365689993e-18,"TEX9","ENSG00000259941",1.4412624814516,2.74666950196343e-07,"AC084782.1"
"145","ENSG00000152763",1.28412174995304,4.99619462877768e-10,"WDR78","ENSG00000231080",2.44304591618252,0.000189869790573126,"AL592161.1"
"146","ENSG00000152952",-1.84199242449688,1.41613722642492e-211,"PLOD2","ENSG00000243415",-2.50600434939207,6.22686682313751e-05,"AC107021.1"
"147","ENSG00000154040",2.60000092900877,1.37818822041164e-145,"CABYR","ENSG00000265750",1.38855961769177,3.65833963322735e-33,"AC090772.3"
"148","ENSG00000154096",-1.66343310935227,2.05646880152595e-107,"THY1","ENSG00000263873",-1.61170924137288,3.04932201005208e-113,"AP003396.5"
"149","ENSG00000154556",-1.58252546685185,1.24046247229539e-13,"SORBS2","ENSG00000233110",-1.93263815882381,0.00624695031021479,"AC093797.1"
"150","ENSG00000155592",1.6082883637061,6.74616851656412e-26,"ZKSCAN2","ENSG00000259955",1.621851948848,2.02972078064111e-13,"AC008741.1"
"151","ENSG00000156486",3.244684249483,0.000486042141504686,"KCNS2","ENSG00000272321",2.88345663377828,0.00440265056709468,"AP003355.2"
"152","ENSG00000157107",1.43618896536599,2.65737742443869e-57,"FCHO2","ENSG00000272081",2.04271859577883,6.63159415046807e-05,"AC008972.2"
"153","ENSG00000157193",-1.54507845428128,2.38427132424431e-56,"LRP8","ENSG00000228838",-1.16233218394004,0.00104416028804253,"AL355483.1"
"154","ENSG00000157625",2.65642108096789,7.14009261661668e-73,"TAB3","ENSG00000231542",2.53705119788141,9.61821703953122e-09,"TAB3-AS1"
"155","ENSG00000157625",2.65642108096789,7.14009261661668e-73,"TAB3","ENSG00000235512",2.52536700935656,3.78798362699793e-47,"TAB3-AS2"
