"","mRNA_id","mRNA_log2FC_OH","mRNA_padj_OH","mRNA_GeneSymbol","lncRNA_id","lncRNA_log2FC_OH","lncRNA_padj_OH","lncRNA_GeneSymbol"
"75","ENSG00000116032",3.87573099704414,7.54660134217023e-60,"GRIN3B","ENSG00000266990",6.02092319954192,0.000222977354789286,"AC004528.1"
"76","ENSG00000116133",-2.41577202720276,3.5804306319659e-107,"DHCR24","ENSG00000242396",-2.20742243485408,4.32550668667214e-46,"AC096536.2"
"77","ENSG00000116337",-1.07668707854002,2.20022737445117e-30,"AMPD2","ENSG00000228703",-1.06500656609005,2.34598067109086e-12,"AL355310.2"
"78","ENSG00000116455",-1.08218121586971,1.98667057167169e-47,"WDR77","ENSG00000243960",-1.06738760936194,4.09532102493243e-44,"AL390195.2"
"79","ENSG00000116761",1.27819437076336,4.13205988245277e-31,"CTH","ENSG00000271992",1.88550298846742,5.3218600022338e-05,"AL354872.2"
"80","ENSG00000118197",1.22171504318703,1.74915270318375e-36,"DDX59","ENSG00000260088",1.16373087781912,0.00590705776636506,"DDX59-AS1"
"81","ENSG00000118523",-2.52146291317737,3.09604412799869e-261,"CTGF","ENSG00000227220",-2.63787719234224,1.04357073643195e-62,"AL133346.1"
"82","ENSG00000120645",4.51683528986175,3.58701490105208e-06,"IQSEC3","ENSG00000256694",4.55035431087801,0.00592817325773753,"AC026369.2"
"83","ENSG00000120889",1.87920138956613,5.91752592357349e-81,"TNFRSF10B","ENSG00000246130",4.51962252331362,6.4863685563326e-30,"AC107959.2"
"84","ENSG00000121068",5.84163920925566,2.90880677109773e-110,"TBX2","ENSG00000267131",4.78327513622058,0.00111159942395042,"AC005746.2"
"85","ENSG00000121104",-1.19389634393223,1.44613946545334e-18,"FAM117A","ENSG00000250751",-1.00158090067244,0.00783812179690369,"AC015795.1"
"86","ENSG00000122678",-1.05345421271193,3.81924694666143e-21,"POLM","ENSG00000239775",2.22645967264993,5.23618229251044e-14,"AC017116.1"
"87","ENSG00000122884",-1.15569577187788,1.80665135068421e-76,"P4HA1","ENSG00000237768",-1.3280361917667,5.07308430124419e-13,"AL731563.3"
"88","ENSG00000123146",-1.14450503180445,5.65711248300114e-24,"CD97","ENSG00000267379",-1.02614530358364,4.54979008059517e-11,"AC008569.1"
"89","ENSG00000123364",4.03527524072193,7.49480427165981e-06,"HOXC13","ENSG00000249641",5.30128427652049,4.92645731293145e-08,"HOXC13-AS"
"90","ENSG00000126231",1.89187672932369,2.49142904018501e-07,"PROZ","ENSG00000269125",2.59731969851991,0.000159836190466518,"AL137002.1"
"91","ENSG00000126500",-2.25338415718124,1.89565366269425e-05,"FLRT1","ENSG00000256341",-2.37211540852011,0.000282795489638318,"AP006333.2"
"92","ENSG00000126583",1.89535120339018,0.00688781848806259,"PRKCG","ENSG00000232220",-1.26416413986353,9.02521590845724e-27,"AC008440.1"
"93","ENSG00000128011",-1.960021125709,9.61457553570818e-20,"LRFN1","ENSG00000268262",-2.47960309545182,8.41191037407684e-09,"AC011445.1"
"94","ENSG00000128059",-1.02456136503999,5.53236001767808e-38,"PPAT","ENSG00000270147",-1.25390145129656,3.63048487788176e-08,"AC068620.2"
"95","ENSG00000128342",2.13076210108224,3.56138624931316e-61,"LIF","ENSG00000232530",2.54606475059161,6.3066056923261e-10,"LIF-AS1"
"96","ENSG00000128346",2.48468829004425,4.71324344774554e-85,"C22orf23","ENSG00000272582",4.01484566487818,5.58654339116026e-21,"AL031587.3"
"97","ENSG00000128408",2.84961374081945,2.08685046372938e-34,"RIBC2","ENSG00000232363",5.07819286756681,0.000872904650492994,"AL021391.1"
"98","ENSG00000128563",1.03163144739439,5.83771212588747e-19,"PRKRIP1","ENSG00000239480",5.10541147108099,0.00199016242749601,"AC073517.1"
"99","ENSG00000128591",3.08063558018649,1.32897175770547e-102,"FLNC","ENSG00000242902",2.58200479539281,5.98177701340919e-07,"FLNC-AS1"
"100","ENSG00000128694",-1.03044649041643,2.71002189223325e-17,"OSGEPL1","ENSG00000253559",1.00177247290627,0.00346578892652957,"OSGEPL1-AS1"
"101","ENSG00000128815",3.54464861278589,8.24759520374878e-32,"WDFY4","ENSG00000228403",4.62376351028166,0.00289814501921848,"AC035139.1"
"102","ENSG00000129173",2.00618084956511,7.01806967913133e-137,"E2F8","ENSG00000255308",1.80202973130454,3.7359424017307e-08,"CSRP3-AS1"
"103","ENSG00000130584",1.62445317312209,2.34222103374814e-10,"ZBTB46","ENSG00000229299",2.56859225549152,8.55364583323848e-18,"AL121845.1"
"104","ENSG00000130940",2.80836221571439,4.54889780319738e-138,"CASZ1","ENSG00000272078",2.55928219906241,4.42280270182574e-85,"AL139423.1"
"105","ENSG00000132334",1.93821851475528,6.93824111507601e-111,"PTPRE","ENSG00000232259",1.82493557340938,6.58556183026858e-07,"AL158166.2"
"106","ENSG00000132334",1.93821851475528,6.93824111507601e-111,"PTPRE","ENSG00000227076",1.65013392794106,4.84608924850716e-08,"AL158166.1"
"107","ENSG00000133477",1.6233316604083,1.1979911053099e-43,"FAM83F","ENSG00000261202",1.9279413484512,0.00946683235750933,"Z83847.1"
"108","ENSG00000134013",-2.27474625552878,2.25111709755945e-126,"LOXL2","ENSG00000253837",-2.04161773629811,2.74171079890941e-23,"AC090197.1"
"109","ENSG00000134333",-2.68348474437417,0,"LDHA","ENSG00000256006",-4.86714745936146,0.00104697001203423,"AC084117.1"
"110","ENSG00000134369",-1.6575857988465,4.47308703112809e-14,"NAV1","ENSG00000235121",4.98675118455571,0.00132511944976656,"AL645504.1"
"111","ENSG00000134574",3.83081644029969,0,"DDB2","ENSG00000256897",2.31503130879907,0.000639245251508358,"AC018410.1"
"112","ENSG00000134871",-1.17023482525693,1.38662070058656e-33,"COL4A2","ENSG00000232814",-1.23881483861345,3.24866463663565e-09,"COL4A2-AS1"
"113","ENSG00000135480",-1.32833243393084,6.66444363687506e-83,"KRT7","ENSG00000257671",-1.27991330818734,5.1372909398995e-51,"KRT7-AS"
"114","ENSG00000135678",3.93454604165907,0,"CPM","ENSG00000257181",4.32723020942319,0,"AC025423.4"
"115","ENSG00000135679",4.82090761895865,0,"MDM2","ENSG00000257181",4.32723020942319,0,"AC025423.4"
"116","ENSG00000135679",4.82090761895865,0,"MDM2","ENSG00000256325",3.68597639513491,4.99730607775671e-05,"AC025423.1"
"117","ENSG00000135823",1.63303035878575,5.24600004503882e-85,"STX6","ENSG00000243155",1.68132997909143,8.56927441613925e-80,"AL162431.1"
"118","ENSG00000135835",2.00950183471702,3.95020505395101e-12,"KIAA1614","ENSG00000243155",1.68132997909143,8.56927441613925e-80,"AL162431.1"
"119","ENSG00000135835",2.00950183471702,3.95020505395101e-12,"KIAA1614","ENSG00000232586",2.95681692672931,1.28859500772706e-51,"KIAA1614-AS1"
"120","ENSG00000135968",1.04485181334008,1.7773729840546e-44,"GCC2","ENSG00000214184",1.00238273914509,6.31272462972383e-06,"GCC2-AS1"
"121","ENSG00000136048",2.53822248352096,4.31586106964855e-135,"DRAM1","ENSG00000257202",2.58313666337402,3.49126073915914e-49,"AC084398.2"
"122","ENSG00000136068",-1.52648860739313,8.24364065179537e-25,"FLNB","ENSG00000244161",-1.50253716781897,1.34961747388951e-50,"FLNB-AS1"
"123","ENSG00000136261",-1.76423564518115,7.73930985741395e-108,"BZW2","ENSG00000235837",-1.56059818920384,8.1158586265769e-34,"AC073333.1"
"124","ENSG00000136279",-1.09305171738564,2.35033105486817e-50,"DBNL","ENSG00000239775",2.22645967264993,5.23618229251044e-14,"AC017116.1"
"125","ENSG00000137857",2.30997826216459,3.69727849696848e-51,"DUOX1","ENSG00000259539",1.28490891344217,0.00129698706678603,"AC051619.5"
"126","ENSG00000138131",1.17820615591652,0.000442437409211076,"LOXL4","ENSG00000230928",3.08698435114572,0.00556145252392537,"AL139241.1"
"127","ENSG00000139112",1.26431635480684,7.89210226703459e-39,"GABARAPL1","ENSG00000255958",1.56855946834401,0.00121691818934359,"AC115676.1"
"128","ENSG00000139163",1.51659949491367,1.10763980714201e-79,"ETNK1","ENSG00000257023",4.22500916594429,0.0078283293012311,"AC087241.2"
"129","ENSG00000139174",-1.94051546363011,4.56802857489069e-44,"PRICKLE1","ENSG00000257225",-1.84544845754638,9.02676435926572e-67,"AC079601.2"
"130","ENSG00000139289",-1.36814651587358,9.31635671123159e-32,"PHLDA1","ENSG00000257453",-1.32170631740751,7.61778790899541e-27,"AC011611.3"
"131","ENSG00000139572",4.36406934823333,0.00888359055309154,"GPR84","ENSG00000258086",-1.44451843881523,3.4949965376279e-08,"AC079313.1"
"132","ENSG00000140403",1.10048567565006,5.98355051525429e-26,"DNAJA4","ENSG00000272418",1.16510323830477,1.56305312505331e-12,"AC090607.4"
"133","ENSG00000140830",1.02686382039545,2.96854829322579e-20,"TXNL4B","ENSG00000260252",1.2799902393501,2.52104350161256e-13,"AC009087.1"
"134","ENSG00000140932",5.36545538858651,2.0322430831004e-06,"CMTM2","ENSG00000260650",5.94401463103329,7.69643799684619e-08,"AC010542.1"
"135","ENSG00000141068",2.12674183080987,1.06038820846156e-32,"KSR1","ENSG00000266872",2.02605922882418,4.03582233895133e-45,"AC015688.6"
"136","ENSG00000141127",1.06980484260643,2.70327171911106e-47,"PRPSAP2","ENSG00000264273",1.83854476438203,3.20963917302616e-05,"AC107982.2"
"137","ENSG00000141522",-1.45861117220754,1.44992684258636e-164,"ARHGDIA","ENSG00000262413",-1.5166518504461,1.41240116042736e-114,"AC145207.2"
"138","ENSG00000142182",6.03544772284076,4.80325126527302e-08,"DNMT3L","ENSG00000232010",6.67566540205313,6.1438768288718e-07,"DNMT3L-AS1"
"139","ENSG00000142512",2.29879330925391,2.0057053412989e-10,"SIGLEC10","ENSG00000255441",1.83954119123639,3.45765219732591e-05,"AC008750.2"
"140","ENSG00000142512",2.29879330925391,2.0057053412989e-10,"SIGLEC10","ENSG00000254760",1.7994158676383,0.00904553518109808,"AC008750.1"
"141","ENSG00000142528",1.32257903396877,2.6096337509184e-95,"ZNF473","ENSG00000204666",5.28111049418457,3.11252553578033e-39,"AC010624.1"
"142","ENSG00000142606",-1.26687197234008,4.07709717318525e-08,"MMEL1","ENSG00000237058",4.09840782989093,0.00946257720958011,"MMEL1-AS1"
"143","ENSG00000142621",2.36473882685336,2.34650008467687e-09,"FHAD1","ENSG00000233485",2.46672956257327,0.00286537720316407,"FHAD1-AS1"
"144","ENSG00000143217",5.99555325101021,2.1792959665708e-248,"PVRL4","ENSG00000228917",4.8969844227339,2.17693286381865e-05,"AL591806.1"
"145","ENSG00000145107",-1.97034735110656,1.89119750618159e-06,"TM4SF19","ENSG00000235897",-1.48778797184887,6.50743162445367e-18,"TM4SF19-AS1"
"146","ENSG00000145506",4.71484040900803,5.185764008206e-75,"NKD2","ENSG00000272347",6.5996874261449,7.20784148008794e-07,"AC116351.2"
"147","ENSG00000147689",-1.33968629251638,7.03526560373384e-34,"FAM83A","ENSG00000253258",-1.69368975245411,0.000100580451162048,"AC068228.2"
"148","ENSG00000148180",-1.55638382056234,8.47744764725813e-124,"GSN","ENSG00000235865",-1.19532179951177,2.3890137379025e-08,"GSN-AS1"
"149","ENSG00000150687",-2.17753196754952,4.3170674668623e-202,"PRSS23","ENSG00000255471",-4.29407057662578,0.00446309173856309,"AP001528.1"
"150","ENSG00000151474",-1.42472773458512,7.62792204614409e-23,"FRMD4A","ENSG00000273474",3.04034571116623,0.00455731922131903,"AL157392.4"
"151","ENSG00000151575",1.36224802976171,2.53718697224684e-23,"TEX9","ENSG00000259941",1.65220743872236,6.42831207506445e-09,"AC084782.1"
"152","ENSG00000151687",1.18141286662847,1.66128772385655e-13,"ANKAR","ENSG00000253559",1.00177247290627,0.00346578892652957,"OSGEPL1-AS1"
"153","ENSG00000152763",1.04736973769938,1.40453208004542e-06,"WDR78","ENSG00000231080",2.2779866085254,0.000823090152792827,"AL592161.1"
"154","ENSG00000153914",1.18879094873081,3.77309564230785e-50,"SREK1","ENSG00000253744",1.2792593670951,4.69897439616851e-11,"AC025442.1"
"155","ENSG00000154040",2.84552925068199,3.43246767770364e-171,"CABYR","ENSG00000265750",1.58848807863765,2.80164644855517e-41,"AC090772.3"
"156","ENSG00000154096",-1.88995679386667,2.71597256255114e-124,"THY1","ENSG00000263873",-1.65482408192844,9.8156667924074e-110,"AP003396.5"
"157","ENSG00000154133",-2.08724302526438,9.85638179774171e-12,"ROBO4","ENSG00000254568",-1.7895851139132,0.00594026562527805,"AP003501.1"
"158","ENSG00000154822",4.56282446314829,3.92164961122247e-57,"PLCL2","ENSG00000226441",3.45920029275322,0.002768315670765,"PLCL2-AS1"
"159","ENSG00000155592",1.67405308614713,3.43018003182607e-27,"ZKSCAN2","ENSG00000259955",1.54264534266887,2.09919778388472e-11,"AC008741.1"
"160","ENSG00000157107",1.46648250991724,5.45315786990716e-58,"FCHO2","ENSG00000272081",2.71150164346854,7.9070875942074e-08,"AC008972.2"
"161","ENSG00000157193",-1.98629382367049,1.55995352766105e-81,"LRP8","ENSG00000228838",-1.36776312207237,0.000326901059221206,"AL355483.1"
"162","ENSG00000157625",2.95791416685006,7.16751325512979e-90,"TAB3","ENSG00000231542",2.84566029612073,1.43636200324757e-10,"TAB3-AS1"
"163","ENSG00000157625",2.95791416685006,7.16751325512979e-90,"TAB3","ENSG00000235512",2.78639565178527,1.74180240292659e-56,"TAB3-AS2"
"164","ENSG00000157870",-1.39304336354271,1.4620576898494e-29,"FAM213B","ENSG00000228037",8.82445286364203,9.99631800662286e-13,"AL139246.3"
"165","ENSG00000158104",1.96021471752863,0.000635930326704622,"HPD","ENSG00000256811",2.92112243826277,0.00114975297715138,"AC079360.1"
"166","ENSG00000158428",3.76021777581875,7.25918068508052e-18,"C2orf62","ENSG00000225062",2.41616449600955,1.07350039996129e-07,"CATIP-AS1"
"167","ENSG00000159363",-1.77871551437194,2.11557902876579e-148,"ATP13A2","ENSG00000226526",-1.93699118525464,2.95291557937564e-33,"AL049569.1"
"168","ENSG00000160013",-1.4400452625872,0.00143673162622947,"PTGIR","ENSG00000269292",-1.21105652315026,1.35446214637136e-59,"AC093503.2"
"169","ENSG00000160223",2.37858244391968,2.53892328248241e-33,"ICOSLG","ENSG00000232010",6.67566540205313,6.1438768288718e-07,"DNMT3L-AS1"
"170","ENSG00000160284",-1.16895834736997,7.48354102216306e-15,"SPATC1L","ENSG00000228404",-1.69736062778359,1.30016630709903e-06,"AP001468.1"
"171","ENSG00000160285",-2.4383401867125,3.01449137396449e-92,"LSS","ENSG00000228404",-1.69736062778359,1.30016630709903e-06,"AP001468.1"
"172","ENSG00000160469",1.22379721777012,1.71557150839126e-24,"BRSK1","ENSG00000268729",1.35193827417262,0.000289895679416637,"AC020922.2"
"173","ENSG00000161638",-1.56403722515014,6.33581273876451e-67,"ITGA5","ENSG00000258086",-1.44451843881523,3.4949965376279e-08,"AC079313.1"
"174","ENSG00000161642",2.27168648738782,1.97667695291827e-162,"ZNF385A","ENSG00000258086",-1.44451843881523,3.4949965376279e-08,"AC079313.1"
"175","ENSG00000161920",-1.30002683784301,4.10541322654425e-21,"MED11","ENSG00000261898",-1.29830428495541,2.09881165122154e-10,"AC091153.4"
"176","ENSG00000162086",1.37234306746555,8.53708559941418e-31,"ZNF75A","ENSG00000262899",1.05520099570015,0.000941689231567802,"AC004232.1"
"177","ENSG00000162174",1.03443326845392,2.5682708393707e-19,"ASRGL1","ENSG00000255126",1.20399650642688,7.55174757244902e-11,"AP003064.1"
"178","ENSG00000162241",3.04529341474192,1.98998510893588e-28,"SLC25A45","ENSG00000255478",2.68778127432146,4.23076056761785e-06,"AP000944.1"
"179","ENSG00000162496",3.72720986930824,6.04132504575837e-120,"DHRS3","ENSG00000272482",5.38736572587481,6.5481471840037e-09,"AC254633.1"
"180","ENSG00000162572",2.47840264108081,5.38103415514399e-52,"SCNN1D","ENSG00000230415",1.24870421653409,0.00519296796461577,"LINC01786"
"181","ENSG00000162694",-1.57135479422299,4.18862469105475e-35,"EXTL2","ENSG00000273204",1.09060178774878,0.00539877630376294,"AC104506.1"
"182","ENSG00000163513",-2.07876521601718,1.85987659692543e-79,"TGFBR2","ENSG00000261468",-2.60201911484134,3.32386651218367e-25,"AC096921.2"
"183","ENSG00000163637",1.85418239432323,2.24673309077524e-16,"PRICKLE2","ENSG00000241111",1.80895072138775,1.52272637816925e-25,"AC092040.2"
"184","ENSG00000163637",1.85418239432323,2.24673309077524e-16,"PRICKLE2","ENSG00000226017",1.92170991702906,0.00114846801189627,"PRICKLE2-AS3"
"185","ENSG00000164002",1.33762322105702,1.25058687908716e-64,"EXO5","ENSG00000238186",1.2831477973085,2.22911918017727e-14,"AL603839.2"
"186","ENSG00000164002",1.33762322105702,1.25058687908716e-64,"EXO5","ENSG00000227278",1.44974140441651,1.03496524090776e-38,"AL603839.1"
"187","ENSG00000164070",2.03111376703586,8.6977099195658e-140,"HSPA4L","ENSG00000261668",1.82048876197703,1.67736302074252e-22,"AC093591.2"
"188","ENSG00000164078",-1.53050301406963,8.20230559276815e-66,"MST1R","ENSG00000230698",-1.53166626024153,7.0293714557085e-07,"AC105935.2"
"189","ENSG00000164591",4.99251961084063,0.0011790881723312,"MYOZ3","ENSG00000250309",4.22693694349823,0.00594745075707399,"AC008453.1"
"190","ENSG00000164708",2.06525330816339,4.50076250196568e-12,"PGAM2","ENSG00000239775",2.22645967264993,5.23618229251044e-14,"AC017116.1"
"191","ENSG00000164733",-1.04285489867213,2.08369134454445e-69,"CTSB","ENSG00000269899",-2.18883169902269,6.98034189743551e-08,"AC025857.2"
"192","ENSG00000164877",1.58879420650812,1.10767882634224e-99,"MICALL2","ENSG00000225981",6.58924455219728,3.05501739972618e-06,"AC102953.1"
"193","ENSG00000165406",1.08289564785443,2.86983123497085e-10,"MARCH8","ENSG00000231964",5.87372305568424,9.07413370284609e-06,"AL731567.1"
"194","ENSG00000165995",1.82188123517057,8.03438739312197e-19,"CACNB2","ENSG00000240291",1.7109336605152,4.05633176547224e-39,"AL450384.2"
"195","ENSG00000166342",-1.22589646094571,9.98023482202556e-17,"NETO1","ENSG00000265579",-1.87715269174449,6.87344704898661e-15,"AC023301.1"
"196","ENSG00000167553",-1.86211049608207,2.48987562625359e-140,"TUBA1C","ENSG00000258232",-1.66464731944668,1.86150777793439e-54,"AC125611.3"
"197","ENSG00000167656",3.5949532748863,0.000953417583075417,"LY6D","ENSG00000253715",3.89050730351481,0.00323722017403854,"AC083841.2"
