"","mRNA_id","mRNA_log2FC_OH","mRNA_padj_OH","mRNA_GeneSymbol","lncRNA_id","lncRNA_log2FC_OH","lncRNA_padj_OH","lncRNA_GeneSymbol"
"239","ENSG00000178150",1.69665095492861,9.87507599979502e-16,"ZNF114","ENSG00000268186",3.18578397806135,0.00385357392674495,"ZNF114-AS1"
"240","ENSG00000178363",4.41569317130345,5.0926466394426e-09,"CALML3","ENSG00000256462",4.32691138029796,3.08654223511083e-11,"AL732437.1"
"241","ENSG00000179528",2.05688586869564,8.2657440352186e-17,"LBX2","ENSG00000272183",1.52445392318468,0.00111713004865824,"AC005041.3"
"242","ENSG00000179528",2.05688586869564,8.2657440352186e-17,"LBX2","ENSG00000257702",2.07223242125042,7.48331744205333e-53,"LBX2-AS1"
"243","ENSG00000179820",-1.57537770746919,9.60145181430973e-47,"MYADM","ENSG00000232220",-1.26416413986353,9.02521590845724e-27,"AC008440.1"
"244","ENSG00000181284",-1.75881091055576,2.60008027808233e-29,"TMEM102","ENSG00000262624",-1.59278097085324,2.19215110170015e-06,"AC113189.1"
"245","ENSG00000181467",1.1258161746662,5.34057343316888e-30,"RAP2B","ENSG00000244268",2.41334991192419,0.00819810073530771,"AC117394.2"
"246","ENSG00000181856",-3.25785115430092,7.7217617604871e-09,"SLC2A4","ENSG00000263342",-4.39401055107644,0.00935400241297847,"AC003688.3"
"247","ENSG00000182782",1.19096859602522,1.63694020728771e-05,"HCAR2","ENSG00000256249",1.81411809629461,1.38034638402867e-18,"AC026333.3"
"248","ENSG00000182827",1.3301827092249,1.68189639765738e-58,"ACBD3","ENSG00000234478",1.05612161713349,2.67459132079082e-17,"ACBD3-AS1"
"249","ENSG00000182950",4.56122414789295,1.61247542617409e-22,"ODF3L1","ENSG00000246877",3.59579745821182,4.33143423813593e-17,"DNM1P35"
"250","ENSG00000183309",1.31111353988103,1.62696777415451e-42,"ZNF623","ENSG00000254812",1.82806242088719,1.67801195113383e-05,"AC067930.2"
