"","Geneid","log2FC_CvsO3","padj_CvsO3","GeneSymbol","biotype"
"69","ENSG00000257042",-1.5552374124554,3.6057257513794e-12,"AC008011.2","lncRNA"
"70","ENSG00000257225",-1.59740868783335,3.77444275408253e-60,"AC079601.2","lncRNA"
"71","ENSG00000257452",-1.88271359706477,1.52194246567544e-05,"AC004551.1","lncRNA"
"72","ENSG00000257453",-1.65050987934603,1.25087374810602e-42,"AC011611.3","lncRNA"
"73","ENSG00000257671",-1.61739864945832,3.00411865696136e-81,"KRT7-AS","lncRNA"
"74","ENSG00000257715",-1.13079462588316,1.10452296346163e-21,"AC007298.1","lncRNA"
"75","ENSG00000258086",-1.11287906662176,3.30059184162554e-06,"AC079313.1","lncRNA"
"76","ENSG00000258177",-1.23121037573788,3.98772806837046e-21,"AC008149.1","lncRNA"
"77","ENSG00000258232",-2.02774502371852,1.01419591197961e-80,"AC125611.3","lncRNA"
"78","ENSG00000258377",-1.09015313702182,5.80308818062341e-37,"AL139099.2","lncRNA"
"79","ENSG00000258424",-1.42857358979129,9.82412215207722e-37,"AL512791.1","lncRNA"
"80","ENSG00000258749",-1.24444261463513,3.3188601741043e-32,"AL110504.1","lncRNA"
"81","ENSG00000258757",-1.06363106453422,9.24217343224905e-18,"AL133453.1","lncRNA"
"82","ENSG00000258777",-1.06353285926465,3.26765437182545e-11,"HIF1A-AS1","lncRNA"
"83","ENSG00000259052",-1.05934124179606,0.00380486419178448,"AL157871.6","lncRNA"
"84","ENSG00000259187",-1.31595252286408,3.73043598839929e-14,"AC122108.2","lncRNA"
"85","ENSG00000259659",-1.28111760644423,0.0474715129567039,"AC009996.1","lncRNA"
"86","ENSG00000259827",-1.85955663690671,2.84459456627453e-33,"AC026461.1","lncRNA"
"87","ENSG00000259863",-1.65493842600161,3.66410341902802e-37,"SH3RF3-AS1","lncRNA"
"88","ENSG00000259939",-1.30552957669532,2.84208396086599e-15,"AC022167.1","lncRNA"
"89","ENSG00000260108",-1.39057533147662,5.11291545444481e-22,"AC026464.2","lncRNA"
"90","ENSG00000260328",-1.2602102729339,0.00184575891545579,"AC104024.2","lncRNA"
"91","ENSG00000260461",-1.33821352493158,0.000189618821310546,"AL133355.1","lncRNA"
"92","ENSG00000260910",-1.80991161112608,3.10457262436689e-15,"LINC00565","lncRNA"
"93","ENSG00000260944",-1.09386680033483,0.00066461952753226,"FOXC2-AS1","lncRNA"
"94","ENSG00000261051",-2.00465348196412,1.93027986878044e-18,"AC107021.2","lncRNA"
"95","ENSG00000261094",-1.00583285888662,2.57202101217338e-05,"AC007066.2","lncRNA"
"96","ENSG00000261113",-1.58207260761284,3.67888815300395e-09,"AC009034.1","lncRNA"
"97","ENSG00000261136",-1.28889116899317,2.23744833185164e-05,"AC023908.3","lncRNA"
"98","ENSG00000261220",-1.52155869773834,0.0160311765298481,"AC103706.1","lncRNA"
"99","ENSG00000261335",-1.52168957919999,4.51373331427755e-07,"AC005837.1","lncRNA"
"100","ENSG00000261373",-1.23632631607187,1.52964442855961e-16,"VPS9D1-AS1","lncRNA"
"101","ENSG00000261416",-1.09666751036696,0.00271156663517348,"AC012645.3","lncRNA"
